"","country","latitude","longitude","primary_fuel"
"1030","BEL",50.6177,5.5837,"Gas"
"1032","BEL",50.936,4.0355,"Gas"
"1033","BEL",50.936,4.0355,"Gas"
"1034","BEL",50.4304,4.3955,"Gas"
"1036","BEL",51.3193,4.853,"Oil"
"1037","BEL",50.9079,4.4155,"Oil"
"1041","BEL",51.2119,4.2563,"Gas"
"1042","BEL",50.2444,5.9302,"Oil"
"1045","BEL",50.8023,4.299,"Gas"
"1046","BEL",50.8023,4.299,"Gas"
"1047","BEL",50.8023,4.299,"Gas"
"1048","BEL",50.7303,3.8531,"Oil"
"1051","BEL",51.05,3.7167,"Gas"
"1053","BEL",51.2629,3.2112,"Gas"
"1061","BEL",51.2198,4.3266,"Gas"
"1067","BEL",50.9405,5.4906,"Coal"
"1068","BEL",50.934,5.4784,"Gas"
"1071","BEL",50.4138,4.4067,"Gas"
"1072","BEL",50.9548,2.8103,"Oil"
"1075","BEL",51.1049,3.7257,"Gas"
"1078","BEL",50.4719,3.8248,"Gas"
"1081","BEL",51.0586,5.1056,"Gas"
"1091","BEL",51.1424,3.1368,"Oil"
"1092","BEL",51.329,3.1819,"Gas"
"1093","BEL",51.329,3.1819,"Oil"
"1094","BEL",51.1587,3.8068,"Gas"
"1095","BEL",51.1896,3.8078,"Oil"
"1096","BEL",51.2382,4.3408,"Gas"
"1097","BEL",51.2382,4.3408,"Gas"
"1098","BEN",6.3506,2.4295,"Gas"
"1099","BEN",6.4263,2.3066,"Oil"
"1105","BOL",-19.0394,-65.2697,"Gas"
"1107","BOL",-17.2424,-64.5409,"Gas"
"1109","BOL",-17.2125,-64.5275,"Gas"
"1115","BOL",-16.5653,-68.1811,"Gas"
"1116","BOL",-21.52,-64.1714,"Gas"
"1117","BOL",-17.7875,-63.1521,"Gas"
"1120","BOL",-19.551,-65.722,"Gas"
"1122","BOL",-17.7549,-63.1398,"Gas"
"1127","BOL",-17.4302,-66.1169,"Gas"
"1134","BIH",43.1724,18.5128,"Coal"
"1139","BIH",44.0899,18.1143,"Coal"
"1148","BIH",44.5215,18.6056,"Coal"
"1149","BIH",44.6829,18.9671,"Coal"
"1151","BWA",-22.5223,27.0491,"Coal"
"1152","BWA",-21.1667,27.5167,"Coal"
"1154","BRA",-23.5927,-48.0901,"Oil"
"1155","BRA",-22.8152,-47.1781,"Oil"
"1156","BRA",-23.9277,-52.4869,"Oil"
"1157","BRA",-23.5218,-46.6691,"Oil"
"1158","BRA",-7.111,-34.8536,"Oil"
"1159","BRA",-20.4633,-54.5918,"Oil"
"1163","BRA",-16.0044,-49.7867,"Oil"
"1166","BRA",-9.6868,-65.3633,"Oil"
"1167","BRA",-21.251,-48.3125,"Oil"
"1168","BRA",-16.9399,-53.5185,"Oil"
"1169","BRA",-3.0293,-60.0239,"Oil"
"1170","BRA",-3.7737,-38.5321,"Oil"
"1171","BRA",-30.029,-51.2205,"Oil"
"1172","BRA",-19.6371,-43.9625,"Oil"
"1173","BRA",-15.8627,-47.9072,"Oil"
"1174","BRA",-23.6234,-46.6464,"Oil"
"1175","BRA",-9.8627,-67.8905,"Oil"
"1176","BRA",-12.9041,-38.3153,"Oil"
"1177","BRA",-23.4293,-46.4571,"Oil"
"1178","BRA",-23.0029,-47.1249,"Oil"
"1179","BRA",-8.1297,-34.9085,"Oil"
"1186","BRA",-22.465,-48.9785,"Oil"
"1188","BRA",-23.082,-46.9415,"Gas"
"1190","BRA",-23.6461,-46.6386,"Oil"
"1194","BRA",-1.502,-48.6165,"Oil"
"1195","BRA",-2.506,-56.1625,"Oil"
"1196","BRA",-2.172,-56.1635,"Oil"
"1199","BRA",-23.5435,-46.6266,"Oil"
"1211","BRA",-29.6341,-50.9975,"Oil"
"1212","BRA",-19.8563,-44.5989,"Oil"
